TrialNumber,Participant,ConFBLSMCLS,ConRew,Bias,TrialType,Reward,LongShort,FBMem,Gender,Age,AQ,PI20,FB (1) vs MC(2),Short (1) vs Long (2)
1,1,1,1,0.22,FBS,POS,Short,FB,1,19,16,40,1,1
2,1,2,2,0.508,FBL,NEG,Long,FB,1,19,16,40,1,2
3,1,3,1,0.034,MCS,POS,Short,Mem,1,19,16,40,2,1
4,1,4,2,0.541,MCL,NEG,Long,Mem,1,19,16,40,2,2
5,1,1,1,0.262,FBS,POS,Short,FB,1,19,16,40,1,1
6,1,3,2,0.247,MCS,NEG,Short,Mem,1,19,16,40,2,1
7,1,4,1,0.393,MCL,POS,Long,Mem,1,19,16,40,2,2
8,1,2,1,-0.135,FBL,POS,Long,FB,1,19,16,40,1,2
9,1,1,2,0.098,FBS,NEG,Short,FB,1,19,16,40,1,1
10,1,3,2,0.551,MCS,NEG,Short,Mem,1,19,16,40,2,1
11,1,2,2,0.536,FBL,NEG,Long,FB,1,19,16,40,1,2
12,1,4,2,0.436,MCL,NEG,Long,Mem,1,19,16,40,2,2
13,1,4,1,0.088,MCL,POS,Long,Mem,1,19,16,40,2,2
14,1,2,1,0.441,FBL,POS,Long,FB,1,19,16,40,1,2
15,1,3,1,-0.055,MCS,POS,Short,Mem,1,19,16,40,2,1
16,1,1,2,-0.027,FBS,NEG,Short,FB,1,19,16,40,1,1
1,2,1,1,0.029,FBS,POS,Short,FB,2,23,4,32,1,1
2,2,2,2,-0.099,FBL,NEG,Long,FB,2,23,4,32,1,2
3,2,3,1,0.285,MCS,POS,Short,Mem,2,23,4,32,2,1
4,2,4,2,0.011,MCL,NEG,Long,Mem,2,23,4,32,2,2
5,2,1,1,0.072,FBS,POS,Short,FB,2,23,4,32,1,1
6,2,3,2,0.022,MCS,NEG,Short,Mem,2,23,4,32,2,1
7,2,4,1,-0.181,MCL,POS,Long,Mem,2,23,4,32,2,2
8,2,2,1,-0.156,FBL,POS,Long,FB,2,23,4,32,1,2
9,2,1,2,-0.081,FBS,NEG,Short,FB,2,23,4,32,1,1
10,2,3,2,0.016,MCS,NEG,Short,Mem,2,23,4,32,2,1
