TrialNumber,Participant,ConFBLSMCLS,ConRew,Bias,TrialType,Reward,LongShort,FBMem,Gender,Age,AQ,PI20,FB (1) vs MC(2),Short (1) vs Long (2)
1,3,1,1,0.03,FBS,Pos,Short,FB,2,20,13,32,1,1
2,3,2,2,0.05,FBL,Neg,Long,FB,2,20,13,32,1,2
3,3,3,1,0.03,MCS,Pos,Short,Mem,2,20,13,32,2,1
4,3,4,2,0.01,MCL,Neg,Long,Mem,2,20,13,32,2,2
5,3,1,1,-0.03,FBS,Pos,Short,FB,2,20,13,32,1,1
6,3,3,2,-0.03,MCS,Neg,Short,Mem,2,20,13,32,2,1
7,3,4,1,0.06,MCL,Pos,Long,Mem,2,20,13,32,2,2
8,3,2,1,-0.09,FBL,Pos,Long,FB,2,20,13,32,1,2
9,3,1,2,-0.03,FBS,Neg,Short,FB,2,20,13,32,1,1
10,3,3,2,0,MCS,Neg,Short,Mem,2,20,13,32,2,1
11,3,2,2,0.02,FBL,Neg,Long,FB,2,20,13,32,1,2
12,3,4,2,-0.05,MCL,Neg,Long,Mem,2,20,13,32,2,2
13,3,4,1,0,MCL,Pos,Long,Mem,2,20,13,32,2,2
14,3,2,1,-0.01,FBL,Pos,Long,FB,2,20,13,32,1,2
15,3,3,1,-0.14,MCS,Pos,Short,Mem,2,20,13,32,2,1
16,3,1,2,0.59,FBS,Neg,Short,FB,2,20,13,32,1,1
1,4,1,1,0.02,FBS,Pos,Short,FB,2,23,21,53,1,1
2,4,2,2,-0.03,FBL,Neg,Long,FB,2,23,21,53,1,2
3,4,3,1,-0.04,MCS,Pos,Short,Mem,2,23,21,53,2,1
4,4,4,2,-0.01,MCL,Neg,Long,Mem,2,23,21,53,2,2
5,4,1,1,0,FBS,Pos,Short,FB,2,23,21,53,1,1
6,4,3,2,0,MCS,Neg,Short,Mem,2,23,21,53,2,1
7,4,4,1,0.02,MCL,Pos,Long,Mem,2,23,21,53,2,2
8,4,2,1,-0.01,FBL,Pos,Long,FB,2,23,21,53,1,2
9,4,1,2,-0.05,FBS,Neg,Short,FB,2,23,21,53,1,1
10,4,3,2,-0.01,MCS,Neg,Short,Mem,2,23,21,53,2,1
11,4,2,2,-0.03,FBL,Neg,Long,FB,2,23,21,53,1,2
12,4,4,2,0,MCL,Neg,Long,Mem,2,23,21,53,2,2
13,4,4,1,-0.01,MCL,Pos,Long,Mem,2,23,21,53,2,2
14,4,2,1,-0.03,FBL,Pos,Long,FB,2,23,21,53,1,2
15,4,3,1,0.04,MCS,Pos,Short,Mem,2,23,21,53,2,1
16,4,1,2,-0.03,FBS,Neg,Short,FB,2,23,21,53,1,1
1,5,1,1,0.06,FBS,Pos,Short,FB,2,25,27,33,1,1
2,5,2,2,-0.04,FBL,Neg,Long,FB,2,25,27,33,1,2
3,5,3,1,-0.01,MCS,Pos,Short,Mem,2,25,27,33,2,1
4,5,4,2,0,MCL,Neg,Long,Mem,2,25,27,33,2,2
5,5,1,1,-0.01,FBS,Pos,Short,FB,2,25,27,33,1,1
6,5,3,2,0.08,MCS,Neg,Short,Mem,2,25,27,33,2,1
7,5,4,1,-0.04,MCL,Pos,Long,Mem,2,25,27,33,2,2
8,5,2,1,-0.19,FBL,Pos,Long,FB,2,25,27,33,1,2
9,5,1,2,0.5,FBS,Neg,Short,FB,2,25,27,33,1,1
10,5,3,2,0.03,MCS,Neg,Short,Mem,2,25,27,33,2,1
11,5,2,2,-0.01,FBL,Neg,Long,FB,2,25,27,33,1,2
12,5,4,2,-0.09,MCL,Neg,Long,Mem,2,25,27,33,2,2
13,5,4,1,-0.13,MCL,Pos,Long,Mem,2,25,27,33,2,2
14,5,2,1,-0.11,FBL,Pos,Long,FB,2,25,27,33,1,2
15,5,3,1,0.03,MCS,Pos,Short,Mem,2,25,27,33,2,1
16,5,1,2,0.04,FBS,Neg,Short,FB,2,25,27,33,1,1
1,6,1,1,0.42,FBS,Pos,Short,FB,1,30,20,34,1,1
2,6,2,2,0.18,FBL,Neg,Long,FB,1,30,20,34,1,2
3,6,3,1,0.03,MCS,Pos,Short,Mem,1,30,20,34,2,1
4,6,4,2,0,MCL,Neg,Long,Mem,1,30,20,34,2,2
5,6,1,1,-0.01,FBS,Pos,Short,FB,1,30,20,34,1,1
6,6,3,2,0,MCS,Neg,Short,Mem,1,30,20,34,2,1
7,6,4,1,0.02,MCL,Pos,Long,Mem,1,30,20,34,2,2
8,6,2,1,-0.04,FBL,Pos,Long,FB,1,30,20,34,1,2
9,6,1,2,0.02,FBS,Neg,Short,FB,1,30,20,34,1,1
10,6,3,2,0.05,MCS,Neg,Short,Mem,1,30,20,34,2,1
11,6,2,2,0.16,FBL,Neg,Long,FB,1,30,20,34,1,2
12,6,4,2,0.03,MCL,Neg,Long,Mem,1,30,20,34,2,2
13,6,4,1,-0.02,MCL,Pos,Long,Mem,1,30,20,34,2,2
14,6,2,1,-0.02,FBL,Pos,Long,FB,1,30,20,34,1,2
15,6,3,1,0.03,MCS,Pos,Short,Mem,1,30,20,34,2,1
16,6,1,2,-0.02,FBS,Neg,Short,FB,1,30,20,34,1,1
1,8,1,1,-0.01,FBS,Pos,Short,FB,2,34,23,45,1,1
2,8,2,2,0.26,FBL,Neg,Long,FB,2,34,23,45,1,2
3,8,3,1,0.17,MCS,Pos,Short,Mem,2,34,23,45,2,1
4,8,4,2,-0.02,MCL,Neg,Long,Mem,2,34,23,45,2,2
5,8,1,1,0.01,FBS,Pos,Short,FB,2,34,23,45,1,1
6,8,3,2,0.15,MCS,Neg,Short,Mem,2,34,23,45,2,1
7,8,4,1,-0.1,MCL,Pos,Long,Mem,2,34,23,45,2,2
8,8,2,1,0.2,FBL,Pos,Long,FB,2,34,23,45,1,2
9,8,1,2,0.08,FBS,Neg,Short,FB,2,34,23,45,1,1
10,8,3,2,0.05,MCS,Neg,Short,Mem,2,34,23,45,2,1
11,8,2,2,0.06,FBL,Neg,Long,FB,2,34,23,45,1,2
12,8,4,2,-0.04,MCL,Neg,Long,Mem,2,34,23,45,2,2
13,8,4,1,0.05,MCL,Pos,Long,Mem,2,34,23,45,2,2
14,8,2,1,0.03,FBL,Pos,Long,FB,2,34,23,45,1,2
15,8,3,1,-0.06,MCS,Pos,Short,Mem,2,34,23,45,2,1
16,8,1,2,0.01,FBS,Neg,Short,FB,2,34,23,45,1,1
1,10,1,1,0.03,FBS,Pos,Short,FB,2,20,11,22,1,1
2,10,2,2,0,FBL,Neg,Long,FB,2,20,11,22,1,2
3,10,3,1,-0.02,MCS,Pos,Short,Mem,2,20,11,22,2,1
